batch,index,music,hashtag,author,likes,comments,shares,saves
1,1,original sound - fr0sty_rick,"fyp%E3%82%B7, relatable, trending, aylecia, blowthisup, viral, qtips",leci.bby,279300,623,15400,160
1,3,Funny - Gold-Tiger,"foryou, fyp",miusuu362,21100,94,2318,756
1,7,original sound - Beast_9 🏴󠁧󠁢󠁳󠁣󠁴󠁿,"wwe, wwefan, wrestling, sports, viral, react, reaction, trending, fy, fyp, foryou, foryoupage",wwe_beast9,65099,1964,5491,1320
2,2,"Spooky, quiet, scary atmosphere piano songs - Skittlegirl Sound","fy, actor, hollywood, deep, crazy, viral",johnamonreal,41300,377,4933,847
2,3,original sound - TheJoeRoganRewind,"fyp, viral, friends",thejoeroganrewind,346500,2176,33800,811
2,5,original sound - Tino & Shelby,"fyp, couplestiktok, viral",tinoandshelby,84000,884,6431,1335
2,18,Love You So - The King Khan & BBQ Show,"@_cunch23, fyp, mattrife, mattrifecomedy, standupcomedy, standup, funny, interesting, joke, fyp%E3%82%B7, fyp%E3%82%B7%E3%82%9Aviral, first, happy, tiktok, foryou, foryourpage, usa, funnyvideos, funnymoments, xzyabc, xzycba",stand4_you_w,7270,301,654,255
3,1,Love You So - The King Khan & BBQ Show,"fyp, foryou, tiktok",pop.movie4,179200,828,27900,962
3,7,original sound - YKTV,"dadsoftiktok, dadvibes, fyp, foryoupage, hilarious, funnymemes, explore, funnyvideos, tiktokcomedy, funnyvideos, funny, followers, foryou, tiktokfyp",22yktv,214700,918,24200,5829
4,5,original sound - Tet G,"lilbaby, lilbaby4pf, lilbabyedit, foryou, foryoupage, fyp",tetgranmun,308400,307,13000,507
4,9,original sound - Straight Outta Viral,"icecream, throw, viral, fyp, funny",straight_outta_viral,46400,645,1898,2843
4,11,original sound - 𓆩A𓆪 - ⛧ 𝐚𝐫𝐢𝐚𝐚,"fy, fyp, fyp%E3%82%B7%E3%82%9Aviral, viralvideo, viral, like, follow, famous, relatable",._ba33,1400000,11300,71000,8246
5,0,original sound - TheHeartbreaks,"@xe.ds, stud, viral, foryou, fyp, trending",theheartbreaks,34600,453,4092,634
5,2,bent instrumental - ⚜️,"aesdr, relatable, viral, fyp, rizz",yourkute,8204,57,836,26
5,4,original sound - Grimez comedy,"pizza, funnyvideos, funnyvideo, funnymoments, funny, fyp, foryou, fyp%E3%82%B7, foryoupage, comdey",grimezcomedy,19100,106,2093,403
5,15,Originalton - 💝,"fyp, viral, romanceanime",_axda._,487100,1857,105700,1209
5,23,suono originale - ⓇⓔⓛⓐⓣⓐⓑⓛⓔⓅⓛⓐⓒⓔ,"@trevortharp, donaldtrump, trump, kid, clone, funny, amusing, talent, viral, fy",_relatable_place_,474000,2654,54200,14500
5,24,original sound - The Macklin Twins,"wow, fyp, trending, viral, xybca, sales, sellmethispen, mustwatch",themacklintwins,46400,484,6035,697
