batch,index,music,hashtag,author,likes,comments,shares,saves
3,14,original sound - mzbiancarenee,"pregnantlife, pregnancytiktok, ultrasound, firsttrimester",flikkube,107400,550,12100,2652
3,15,original sound - YSK,youshouldknowpodcast,ysk_fanaccount,1600000,10700,86200,5507
3,16,original sound - goddess.of.survival?,,annaisspaulino,311900,2620,33500,3786
3,17,original sound - dynamowyd,"fortniteclips, fortnitememes, fyp",dynamowyd,629300,1310,29500,445
3,18,original sound - 💥Evansane💥 On 🎮Twitch🎮 - Evansane,"palworld, palworldgame, palworldgameplay, palworldclips, fypage, fyp, fyp%E3%82%B7, gaming, gamingontiktok",evansane,533500,3130,58400,73700
3,19,original sound - Mercedesz,fyp,missmercedesblanche,147000,8081,8962,40900
3,20,ужасы - шидо кинни,,4exxt,298300,3860,25900,22700
3,21,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,"boardgames, gamenight, couple, fun",games4two,1600000,1592,51500,6918
3,22,original sound - 4funziez,"fyp, foryou, memes, driving, baddrivers, elmodriving, capcut, trending",kaitlynnpaige3,346300,1278,22200,15200
3,23,original sound - wiliam_ph@,,wiliam_ph,172400,1269,6979,6887
3,24,,"fyp, vsp, edit, victorious",lovesdeb,442500,581,83500,1139
3,25,,,,85000,1028,3961,456
3,26,,"dinosaur, fyp, foryou, dogoftheday, furryfandom, furrytiktok",,1100000,3928,74600,88600
3,27,,"capcut, templates, real, god, godisgreat, viral, jesuslovesyou, foryoupage, fyp%E3%82%B7",,103900,374,10800,774
3,28,,"fyp, foryoupage, motivation, foryou, fyp%E3%82%B7, trending, viral",,617600,3264,45300,11400
3,29,,,kimberly.loaiza,1300000,18300,72900,17100
